"Station code";Date;"Particulate matter (PM₁₀) Daily average (hourly floating) in µg/m³";"Ozone (O₃) One hour average in µg/m³";"Nitrogen dioxide (NO₂) One hour average in µg/m³";"Particulate matter (PM₂,₅) Daily average (hourly floating) in µg/m³";"Air quality index"
DENW260;"'2022-01-01 01:00'";9;-;9;-;"very good"
DENW260;"'2022-01-01 02:00'";10;-;8;-;"very good"
DENW260;"'2022-01-01 03:00'";10;-;6;-;"very good"
DENW260;"'2022-01-01 04:00'";11;-;6;-;"very good"
DENW260;"'2022-01-01 05:00'";11;-;6;-;"very good"
DENW260;"'2022-01-01 06:00'";12;-;6;-;"very good"
DENW260;"'2022-01-01 07:00'";12;-;6;-;"very good"
DENW260;"'2022-01-01 08:00'";13;-;5;-;"very good"
DENW260;"'2022-01-01 09:00'";13;-;8;-;"very good"
DENW260;"'2022-01-01 10:00'";13;-;17;-;"very good"
DENW260;"'2022-01-01 11:00'";14;-;20;-;"very good"
DENW260;"'2022-01-01 12:00'";14;-;18;-;"very good"
DENW260;"'2022-01-01 13:00'";14;-;19;-;"very good"
DENW260;"'2022-01-01 14:00'";14;-;15;-;"very good"
DENW260;"'2022-01-01 15:00'";14;-;24;-;good
DENW260;"'2022-01-01 16:00'";14;-;21;-;good
DENW260;"'2022-01-01 17:00'";14;-;26;-;good
DENW260;"'2022-01-01 18:00'";14;-;18;-;"very good"
DENW260;"'2022-01-01 19:00'";14;-;23;-;good
DENW260;"'2022-01-01 20:00'";14;-;17;-;"very good"
DENW260;"'2022-01-01 21:00'";13;-;15;-;"very good"
DENW260;"'2022-01-01 22:00'";13;-;12;-;"very good"
DENW260;"'2022-01-01 23:00'";13;-;-;-;"very good"
DENW260;"'2022-01-01 24:00'";12;-;14;-;"very good"
DENW260;"'2022-01-02 01:00'";12;-;14;-;"very good"
DENW260;"'2022-01-02 02:00'";11;-;9;-;"very good"
DENW260;"'2022-01-02 03:00'";11;-;10;-;"very good"
DENW260;"'2022-01-02 04:00'";10;-;10;-;"very good"
DENW260;"'2022-01-02 05:00'";10;-;10;-;"very good"
DENW260;"'2022-01-02 06:00'";10;-;12;-;"very good"
DENW260;"'2022-01-02 07:00'";9;-;12;-;"very good"
DENW260;"'2022-01-02 08:00'";9;-;11;-;"very good"
DENW260;"'2022-01-02 09:00'";9;-;11;-;"very good"
DENW260;"'2022-01-02 10:00'";9;-;11;-;"very good"
DENW260;"'2022-01-02 11:00'";9;-;8;-;"very good"
DENW260;"'2022-01-02 12:00'";9;-;12;-;"very good"
DENW260;"'2022-01-02 13:00'";9;-;12;-;"very good"
DENW260;"'2022-01-02 14:00'";9;-;10;-;"very good"
DENW260;"'2022-01-02 15:00'";9;-;11;-;"very good"
DENW260;"'2022-01-02 16:00'";9;-;15;-;"very good"
DENW260;"'2022-01-02 17:00'";9;-;15;-;"very good"
DENW260;"'2022-01-02 18:00'";9;-;24;-;good
DENW260;"'2022-01-02 19:00'";9;-;30;-;good
DENW260;"'2022-01-02 20:00'";9;-;15;-;"very good"
DENW260;"'2022-01-02 21:00'";9;-;20;-;"very good"
DENW260;"'2022-01-02 22:00'";9;-;10;-;"very good"
DENW260;"'2022-01-02 23:00'";9;-;10;-;"very good"
DENW260;"'2022-01-02 24:00'";9;-;-;-;"very good"
DENW260;"'2022-01-03 01:00'";9;-;2;-;"very good"
DENW260;"'2022-01-03 02:00'";9;-;2;-;"very good"
DENW260;"'2022-01-03 03:00'";9;-;2;-;"very good"
DENW260;"'2022-01-03 04:00'";9;-;3;-;"very good"
DENW260;"'2022-01-03 05:00'";9;-;2;-;"very good"
DENW260;"'2022-01-03 06:00'";9;-;4;-;"very good"
DENW260;"'2022-01-03 07:00'";9;-;8;-;"very good"
DENW260;"'2022-01-03 08:00'";9;-;15;-;"very good"
DENW260;"'2022-01-03 09:00'";9;-;16;-;"very good"
DENW260;"'2022-01-03 10:00'";9;-;16;-;"very good"
DENW260;"'2022-01-03 11:00'";10;-;16;-;"very good"
DENW260;"'2022-01-03 12:00'";10;-;13;-;"very good"
DENW260;"'2022-01-03 13:00'";10;-;16;-;"very good"
DENW260;"'2022-01-03 14:00'";10;-;19;-;"very good"
DENW260;"'2022-01-03 15:00'";10;-;23;-;good
DENW260;"'2022-01-03 16:00'";10;-;25;-;good
DENW260;"'2022-01-03 17:00'";10;-;24;-;good
DENW260;"'2022-01-03 18:00'";10;-;24;-;good
DENW260;"'2022-01-03 19:00'";10;-;25;-;good
DENW260;"'2022-01-03 20:00'";10;-;24;-;good
DENW260;"'2022-01-03 21:00'";10;-;20;-;"very good"
DENW260;"'2022-01-03 22:00'";10;-;12;-;"very good"
DENW260;"'2022-01-03 23:00'";10;-;10;-;"very good"
DENW260;"'2022-01-03 24:00'";11;-;8;-;"very good"
DENW260;"'2022-01-04 01:00'";11;-;-;-;"very good"
DENW260;"'2022-01-04 02:00'";11;-;4;-;"very good"
DENW260;"'2022-01-04 03:00'";11;-;8;-;"very good"
DENW260;"'2022-01-04 04:00'";11;-;8;-;"very good"
DENW260;"'2022-01-04 05:00'";11;-;8;-;"very good"
DENW260;"'2022-01-04 06:00'";11;-;12;-;"very good"
DENW260;"'2022-01-04 07:00'";11;-;30;-;good
DENW260;"'2022-01-04 08:00'";11;-;29;-;good
DENW260;"'2022-01-04 09:00'";11;-;27;-;good
DENW260;"'2022-01-04 10:00'";11;-;32;-;good
DENW260;"'2022-01-04 11:00'";11;-;23;-;good
DENW260;"'2022-01-04 12:00'";11;-;26;-;good
DENW260;"'2022-01-04 13:00'";11;-;26;-;good
DENW260;"'2022-01-04 14:00'";11;-;25;-;good
